Codigo,Familias,Nombre,Alias,Tasa,Unidad
AA-REFR-R410A,,Refrigerante R410A,,,Lb
EQ-APS-REJ-HELVEX,,Rejilla de Piso Helvex,,,U
EQ-BOM-ACFA-½,,BOMBA DE ACHIQUE FOSA ASCENSOR 1/2 HP,,,U
EQ-BOM-BASE,,Base para Bomba,,,U
EQ-BOM-BASE-3U,,Base para 3 equipos de bombeo,,,U
EQ-CHQ-BOL-4,,"Cheque de Bola 4""",,,U
EQ-CHQS-2.5,,"Cheques silenciosos 2 1/2""",,,U
EQ-CHQV-1½,,"Cheque Vertical 1 1/2""",,,U
EQ-COND-EVA-FCOIL-12KBTU,,"Unidad Independiente Tipo Fan Coil de 12,000 BTU",,,U
EQ-COND-EVA-FCOIL-18KBTU,,"Unidad Independiente Tipo Fan Coil de 18,000 BTU",,,U
EQ-COND-EVA-FCOIL-24KBTU,,"Unidad Independiente Tipo Fan Coil de 24,000 BTU",,,U
EQ-COND-EVA-FCOIL-30KBTU,,"Unidad Independiente Tipo Fan Coil de 30,000 BTU",,,U
EQ-COND-EVA-FCOIL-36KBTU,,"Unidad Independiente Tipo Fan Coil de 36,000 BTU",,,U
EQ-COND-EVA-FCOIL-48KBTU,,"Unidad Independiente Tipo Fan Coil de 48,000 BTU",,,U
EQ-COND-EVA-FCOIL-60KBTU,,"Unidad Independiente Tipo Fan Coil de 60,000 BTU",,,U
EQ-COND-EVA-SPLIT-PAR-12KBTU,,"Unidad Independiente Split de pared de 12,000 Btu",,,U
EQ-COND-EVA-SPLIT-PAR-18KBTU,,"Unidad Independiente Split de pared de 18,000 Btu",,,U
EQ-COND-EVA-SPLIT-PAR-24KBTU,,"Unidad Independiente Split de pared de 24,000 Btu",,,U
EQ-COND-EVA-SPLIT-PAR-36KBTU,,"Unidad Independiente Split de pared de 36,000 Btu",,,U
EQ-COND-MSPLIT-30KBTU,,"Unidad Multi-Split Condensadora de 30,000 Btu",,,U
EQ-COND-MSPLIT-36KBTU,,"Unidad Multi-Split Condensadora de 36,000 Btu",,,U
EQ-COND-MSPLIT-53KBTU,,"Unidad Multi-Split Condensadora de 53,000 Btu",,,U
EQ-ELEC-ALA-12,,Alambre THHN #12,,,Pie
EQ-ELEC-ALA-14,,Alambre THHN #14,,,Pie
EQ-ELEC-BOM-CEFG-115GPM-50PSI-TRIF-208-230/460-3HP,,"Bomba 3 HP, centrifuga, 115 GPM vs 50 PSI, motor electrico, trifásico, 208-230/460V",,,U
EQ-ELEC-BOM-CEFG-TRIF-230/460-15HP,,"Bomba 15 HP, centrifuga, motor electrico, trifásico,230/460V",,,U
EQ-ELEC-BOM-CEFG-TRIF-230/460-5HP,,"Bomba 5 HP, centrifuga, motor electrico, trifásico,230/460V",,,U
EQ-ELEC-BOM-CEFG-TRIF-230/460-7.5HP,,"Bomba 7.5 HP, centrifuga, motor electrico, trifásico,230/460V",,,U
EQ-ELEC-BOM-CEFG-TRIF-230-1.5HP,,"Bomba 1.5 HP, centrifuga, motor electrico, trifásico,230V",,,U
EQ-ELEC-BOM-CEFG-TRIF-300GPM-150PSI-208-230/460,,"Electrobomba centrifuga monobloque marca Franklin Electric, 300 GPM vs 150PSI, construida en hierro ductil, provista de sello mecánico, 3500 RPM, 208-230/460V, 3F, 60Hz.",,,U
EQ-ELEC-BOM-JOCK-20GPM,,Bomba Jockey mantenedora de presión de 20 GPMvs308',,,U
EQ-ELEC-BOM-SGBL-INTBL-5HP,,Electrobomba Sumergible No Atascable 5HP,,,U
EQ-ELEC-PISC-PAN,,Panel para Piscina,,,U
EQ-ELEC-VAL-FL,,Electro Valvula Flota,,,U
EQ-EVA-FCOIL-12KBTU,,"Unidad Evaporadora Tipo Fan Coil de 12,000 BTU",,,U
EQ-EVA-FCOIL-18KBTU,,"Unidad Evaporadora Tipo Fan Coil de 18,000 BTU",,,U
EQ-EVA-FCOIL-24KBTU,,"Unidad Evaporadora Tipo Fan Coil de 24,000 BTU",,,U
EQ-EVA-FCOIL-30KBTU,,"Unidad Evaporadora Tipo Fan Coil de 30,000 BTU",,,U
EQ-EVA-FCOIL-36KBTU,,"Unidad Evaporadora Tipo Fan Coil de 36,000 BTU",,,U
EQ-EVA-FCOIL-42KBTU,,"Unidad Evaporadora Tipo Fan Coil de 42,000 BTU",,,U
EQ-EVA-FCOIL-48KBTU,,"Unidad Evaporadora Tipo Fan Coil de 48,000 BTU",,,U
EQ-EVA-FCOIL-55KBTU,,"Unidad Evaporadora Tipo Fan Coil de 55,000 BTU",,,U
EQ-EVA-FCOIL-60KBTU,,"Unidad Evaporadora Tipo Fan Coil de 60,000 BTU",,,U
EQ-EVA-FCOIL-9KBTU,,"Unidad Evaporadora Tipo Fan Coil de 9,000 BTU",,,U
EQ-EVA-MSPLIT-PAR-12KBTU,,"Unidad Evaporadora Multi-Split de pared de 12,000 Btu",,,U
EQ-EVA-MSPLIT-PAR-18KBTU,,"Unidad Evaporadora  Multi-Split de pared de 18,000 Btu",,,U
EQ-EVA-MSPLIT-PAR-24KBTU,,"Unidad Evaporadora  Multi-Split de pared de 24,000 Btu",,,U
EQ-EVA-MSPLIT-PAR-36KBTU,,"Unidad Evaporadora  Multi-Split de pared de 36,000 Btu",,,U
EQ-EXT-ABC-10,,Extintores ABC 10 Lbs,,,U
EQ-EXT-CO2-10,,Extintores CO2 10 Lbs,,,U
EQ-EXTR-FILCA,,"Extractor de Baño Broan ""Ductless"" - 682",,,U
EQ-FAR-SUP-300W-12V,,"Farol Led de superficie 300w, 12v",,,U
EQ-FL,,Flota,,,U
EQ-GCI-24x30,,"Gabinetes Contra Incendios (24""x30"")",,,U
EQ-GM-10-16,,Guardamotores 10-16 amps,,,U
EQ-HF-CAJ-TELE-VAL,,Caja Telescopica de Hierro Fundido para Valvula,,,U
EQ-HF-VALC-PLAT-250PSI-4,,"Valvula de Compuerta de Hierro Fundido 250 PSI 4""",,,U
EQ-HIDR-4,,Hidrante de 4,,,U
EQ-INST-ELEC,,Instalaciones Electricas Para Bomba,,,U
EQ-INST-MEC,,Instalaciones Mecanicas para Bomba,,,U
EQ-JTDR-CRIO-4,,Junta Tipo Dresser Criolla 4,,,U
EQ-MAN-0-100PSI,,Manómetro 0-100 psi (inmerso en glicerina),,,U
EQ-MISC-PERFILT-14,,"Perforación De Filtrante 14""",,,Pie
EQ-PAN-VAR-1-5HP,,Panel de control con Variador de frecuencia de 5 Hp,,,U
EQ-PAN-VAR-1-7.5HP,,Panel de control con Variador de frecuencia de 7.5 Hp,,,U
EQ-PAN-VAR-2-15HP,,Panel de Control con Variadores de Frecuencia para 2 Bombas de 15HP,,,U
EQ-PISC-ACM,,Ácido Muriático,,,Gl
EQ-PISC-BOM-1,,Bomba para Piscina 1HP,,,U
EQ-PISC-BOM-2,,Bomba para Piscina 2HP,,,U
EQ-PISC-BOM-2.5,,Bomba para Piscina 2.5HP,,,U
EQ-PISC-BOM-5,,Bomba para Piscina 5HP,,,U
EQ-PISC-CEPAL,,Cepillo de Algas,,,U
EQ-PISC-CLO,,Clorinador Para Piscina (10 pastillas),,,U
EQ-PISC-COLF,,Colador de Fondo,,,U
"EQ-PISC-FIL-21""",,"Filtro p/piscina. 21""",,,U
EQ-PISC-FIL-30,,"Filtro p/piscina. 30""",,,U
EQ-PISC-FOND-2,,"Toma de Fondo 2""",,,U
EQ-PISC-GROUT,,Grout para Acuñe,,,Fda
EQ-PISC-INY,,Inyector para Piscina,,,U
EQ-PISC-LIMP,,Set de Limpieza,,,U
EQ-PISC-MANG-40,,Manguera p/limp 40´,,,U
EQ-PISC-RECE,,Receptáculo,,,U
EQ-PISC-REG,,Registro electrico para luces de piscina,,,U
EQ-PISC-SKI,,Skimmer para Piscina,,,U
EQ-PISC-SUPBL,,Super Blue,,,U
EQ-PISC-TUB-TELE,,Tubo Telescopico,,,U
EQ-PISC-WURTH,,Wurth MS Pool,,,U
EQ-RCI-EST,,Estucheon para Rociador Vikkingo Blanco,,,U
EQ-RCI-MAN,,Manguera para rociador con rack,,,U
EQ-RCI-RO-COL,,Rociador Colgante Respuesta Rapida Blanco 155 F,,,U
EQ-TQH-125PSI-120GL,,"Tanque precargado, 120 gls, presión máxima 125 PSI",,,U
EQ-TRAN-100W-12V,,Transformador 100W 12V,,,U
EQ-VAR-3HP,,Variador de frecuencia para bomba de 3 HP,,,U
MA-AIS-110,,Aislamiento 110 MM,,,U
MA-AIS-20,,Aislamiento 20 MM,,,U
MA-AIS-25,,Aislamiento 25 MM,,,U
MA-AIS-32,,Aislamiento 32 MM,,,U
MA-AIS-50,,Aislamiento 50 MM,,,U
MA-AIS-63,,Aislamiento 63 MM,,,U
MA-AIS-90,,Aislamiento 90 MM,,,U
MA-BRON-ADA-HEM-12x½,,Adaptador de Bronce Hembra 12mmx½,,,U
MA-BRON-ADA-HEM-15x½,,Adaptador de Bronce Hembra 15mmx½,,,U
MA-BRON-ADA-HEM-16x½,,Adaptador de Bronce Hembra 16mmx½,,,U
MA-BRON-COD-MH-½x90º,,Codo de Bronce Macho Hembra ½x90º,,,U
MA-BRON-COD-MH-¾x90º,,Codo de Bronce Macho Hembra ¾x90º,,,U
MA-BRON-COD-MH-1x90º,,Codo de Bronce Macho Hembra 1x90º,,,U
MA-BRON-RED-¾x½,,Reduccion de Bronce ¾x½,,,U
MA-BRON-RED-1x¾,,Reduccion de Bronce 1x¾,,,U
MA-BRON-TAP-HEM-½,,"Tapón de Bronce hembra 1/2""",,,U
