Suplidor,Telefono,Ubicacion,Correo,Nombre_Vendedor
Torpinsa,8095668186,#https://goo.gl/maps/DwCALtXGbHtEs2Qv7#,,
Ferretería Americana,8093321720,#https://goo.gl/maps/q71P315LgVkuxvzG6#,,
Refricentro Rubiera,8096854545,#https://goo.gl/maps/6s3AR5WZu1kRb7qF9#,,
Refripartes SA,8095398484,#https://goo.gl/maps/V5xnxY7krbn11A9W9#,,
Comercial 2000 S.R.L.,8092216336,#https://goo.gl/maps/H1MCH9tq8NSUaDPF8#,,
INCIfire,8094753999,#https://goo.gl/maps/1WF46Xu9p8uhS3oK9#,,
"LG ElectronicsS Panama, S.A. Branch Dominicana",8296399663,,juan.deniz@lgepartner.com#mailto:juan.deniz@lgepartner.com#,Juan Deniz
Joval Comercial,8096168686,#https://goo.gl/maps/tbRvTQhLNvgSrbsA9#,ventas@jovalcomercial.com#mailto:ventas@jovalcomercial.com#,
Unirefri,8096887200,#https://goo.gl/maps/3mDpX1M21j98nseS9#,,Jose Antonio
"Feray, S.R.L.",8092238707,#https://goo.gl/maps/6C3cXHzxHhUh7FZR9#,,
Tropigas,,,,
Distribuidora 0212 S.R.L.,8096165971,https://goo.gl/maps/iSeo9qfSZCd8T5LB9,,
"Rodfor Team, SRL",8093340002,#https://goo.gl/maps/Hm2yrZ9VQBAE5oin9#,,
"The Plumber Shop by JRV, S.R.L.",,,,
No Tiene Suplidor Especifico,,,,
Ferretería Detallista,8095564666,#https://goo.gl/maps/mKx1kwwwXqxHNJpd8#,,
Almacenes Unidos,8094726911,#https://goo.gl/maps/Q6vCEPGUSQq84NbC7#,,
Ferre Universo,8093628573,#https://goo.gl/maps/BMVof1XLUnfA9EZv9#,,
Antonio P. Haché y Ferreteria Haché S. A.,8095661111,#https://goo.gl/maps/3NXA4HDXSPpU6sHd8#,,
Garda Import And Export. S.R.L.,8096888896,#https://goo.gl/maps/g4xU9EjDUH9b3eZj7#,,
Ferremix,8095683000,#https://goo.gl/maps/YcDW6tua4BftnYeU9#,,
Caribe Group,8092893000,#https://goo.gl/maps/TV1czqGsF9v2Yqs58#,,
Materiales Industriales,8092276911,#https://goo.gl/maps/AcQPi5vVzJcsdJ8v6#,,
Ferretería Ochoa,8095307969,#https://goo.gl/maps/xYerrYKTm2mRevyz6#,,
"Refrihotel V&V, S.R.L.",8095440679,#https://goo.gl/maps/xBeqRwkwjkP9cwKF9#,,
Aislantes Dominicanos SAS,8095643920,#https://goo.gl/maps/SNS3ABZVxfU9Mr2T9#,,
"JDL Electro Plomer Pool, S.R.L.",8095861500,#https://goo.gl/maps/kJDjcbtHbNqpV75SA#,,
SPC Servicios y Productos para la Construcción SRL,8095494015,#https://goo.gl/maps/dR4JQkbwkwQnfBu16#,,
"Eurotubos Industrial, S.R.L.",8093880111,#https://goo.gl/maps/Ri2FUfeF4yeM2FxL8#,,
"Garcia and Llerandi, S.A.S.",8095650489,#https://goo.gl/maps/M9Jb33qQEcFtXNSu6#,,
"Importadora Tropical, SA",8095316066,#https://goo.gl/maps/3Siw7yUqLHrNkPz1A#,,
SP Servicios Electricos Industriales S.R.L,8098517851,#https://goo.gl/maps/mgcvt4premSkqX7TA#,,
"Lezcano Hermanos, C. por A.",8095441055,#https://goo.gl/maps/H3hZfvyahCkdFh3UA#,,
JG Acueductos Y Partes S.R.L.,8093333600,#https://goo.gl/maps/dQJgdijQrRtjeK1JA#,,
"Aires Dominicanos, S.R.L.",8096866300,#https://goo.gl/maps/ka3fdUrhRL4Vy4kXA#,,
Pochy Ieromazzo. S.A.,8095424757,#https://goo.gl/maps/xn4EDdu8nGeAPKXL8#,,
